['btc' '202104082043' '-2.07' '-0.6' '2.19' '0.07']
['eth' '202104082043' '-9.49' '0.8' '-8.6' '-13.19']
['uni' '202104082043' '-5.74' '-1.45' '-1.44' '-0.38']
['ust' '202104082043' '-15.57' '-0.14' '-15.54' '-18.01']
['one' '202104082043' '-21.57' '2.7' '-23.88' '-24.22']
['win' '202104082043' '-18.62' '10.31' '-18.72' '-20.01']
['kin' '202104082043' '-25.41' '3.53' '-31.67' '-25.8']
['rep' '202104082043' '-6.74' '-1.61' '-15.74' '-9.97']
['ark' '202104082043' '-16.31' '-0.46' '-14.24' '-19.48']
['anc' '202104082043' '-15.61' '-1.0' '-11.58' '-13.39']
['pro' '202104082043' '-17.73' '0.37' '-22.17' '-16.72']
['game' '202104082043' '-6.86' '-3.5' '-3.02' '-2.84']
['for' '202104082043' '-27.34' '-0.42' '-27.74' '-28.76']
['new' '202104082043' '-15.26' '2.55' '-14.93' '-15.49']
['man' '202104082043' '-7.1' '-1.62' '-6.21' '-11.28']
['ada' '202104081840' '4.06' '-0.13' '9.08' '-2.46']
['dot' '202104081840' '7.21' '1.0' '-12.0' '-8.07']
['link' '202104081840' '-17.31' '-5.08' '-40.54' '-17.92']
['sol' '202104082043' '-17.04' '3.8' '-16.82' '-14.7']
['cro' '202104082043' '-9.17' '-3.05' '7.75' '-6.86']
['dai' '202104081840' '-13.04' '0.0' '-12.57' '-3.68']
['comp' '202104082043' '-21.41' '2.79' '-13.41' '-19.19']
['ont' '202104082043' '-12.44' '-0.73' '-15.46' '-14.61']
['ren' '202104082043' '-22.19' '-1.81' '-21.86' '-24.12']
['ant' '202104082043' '-16.65' '0.09' '-13.93' '-12.0']
['fun' '202104081840' '-4.85' '-2.48' '-10.54' '-2.06']
['tel' '202104082043' '-8.71' '1.0' '-11.42' '-6.76']
['bal' '202104081840' '-23.81' '-1.7' '-20.41' '-26.69']
['vid' '202104081840' '-12.85' '-2.87' '-20.57' '-20.22']
['pha' '202104081840' '2.77' '-3.97' '-42.92' '-22.31']
['key' '202104082043' '-14.53' '-5.48' '-12.89' '6.22']
['loc' '202104082043' '-12.22' '7.07' '-21.01' '-12.11']
['ring' '202104082043' '-17.37' '-3.42' '-29.91' '-9.27']
['ast' '202104082043' '-0.98' '-6.3' '1.98' '-11.96']
['tru' '202104082043' '8.91' '-0.57' '30.77' '1.39']
['polk' '202104081840' '-9.24' '-0.82' '-16.55' '-11.1']
['any' '202104082043' '-4.63' '-2.89' '-13.77' '-16.47']
['sha' '202104082043' '-7.64' '6.63' '-10.59' '-13.59']
['met' '202104081840' '-11.69' '2.14' '-5.19' '-1.13']
['ost' '202104082043' '-6.15' '-0.69' '-11.46' '-15.59']
['pay' '202104082043' '14.13' '-0.97' '74.03' '22.81']
['hit' '202104082043' '-25.76' '-16.13' '14.85' '-42.73']
['block' '202104082043' '-5.0' '-2.11' '-9.11' '-7.81']
['ach' '202104082043' '-18.51' '-2.38' '-27.05' '-21.56']
['act' '202104082043' '-30.28' '4.67' '-31.36' '-32.96']
['ray' '202104081433' '-19.5' '-2.95' '36.17' '-18.83']
['spi' '202104081738' '-19.0' '-4.5' '-23.74' '-7.89']
['dent' '202104072315' '-12.57' '-2.66' '-8.87' '-3.3']
['trac' '202104081840' '-12.88' '1.44' '11.75' '-9.82']
['dia' '202104082043' '-17.43' '2.96' '-34.11' '-15.29']
['bnb' '202104081840' '28.4' '5.25' '12.82' '18.02']
['xrp' '202104081738' '-27.3' '6.46' '-24.6' '-23.9']
['doge' '202104081331' '25.92' '1.73' '33.54' '39.25']
['uma' '202104081941' '-0.18' '-0.96' '-7.07' '-6.5']
['ava' '202104081840' '-9.13' '0.91' '-15.83' '-31.0']
['rif' '202104072213' '20.78' '-6.09' '-39.0' '-31.56']
['data' '202104072213' '-17.07' '-2.61' '14.93' '-8.5']
['lon' '202104082043' '-8.94' '-3.74' '-19.51' '1.73']
['smart' '202104081840' '-24.22' '10.18' '-38.44' '-37.67']
['fil' '202104072013' '27.72' '14.32' '58.11' '31.17']
['algo' '202104072213' '10.83' '-4.98' '30.67' '25.83']
['sys' '202104081840' '-10.88' '-3.32' '-19.75' '-0.04']
['usdt' '202104081840' '-2.2' '0.03' '-14.6' '-13.8']
['etc' '202104082043' '4.92' '4.8' '-4.71' '14.96']
['wan' '202104082043' '-3.47' '-2.8' '1.29' '12.88']
['layer' '202104081840' '21.67' '-4.35' '-24.67' '24.17']
['mana' '202104021543' '41.5' '0.0' '9.5' '62.5']
['orn' '202104062027' '6.0' '-4.78' '-12.5' '-7.0']
['rly' '202104071749' '22.67' '5.68' '59.22' '44.33']
['pai' '202104062027' '-6.0' '4.58' '-2.43' '6.21']
['ltc' '202104022050' '-7.67' '0.36' '-11.96' '-25.46']
['trade' '202104021543' '-7.22' '-3.88' '16.15' '-6.63']
['hot' '202104021543' '-11.48' '-2.7' '19.16' '-7.44']
['meme' '202104011335' '-4.86' '1.76' '87.86' '13.0']
['easy' '202104011335' '-4.0' '8.05' '-38.0' '-19.0']
['usdc' '202103302152' '33.33' '-0.03' '144.33' '29.33']
['cake' '202103311341' '-7.0' '2.4' '-14.5' '-17.5']
