['btc' '202103311341' '-9.0' '-0.73' '-6.25' '-3.0'],['btc' '202104011335' '-10.33' '-0.5' '-7.0' '-7.67'],['btc' '202104021100' '27.0' '-0.57' '24.0' '45.0']
['eth' '202103311341' '-4.0' '1.86' '13.75' '-8.75'],['eth' '202104011335' '3.0' '3.09' '19.33' '-3.33'],['eth' '202104021100' '14.0' '4.71' '16.0' '5.0']
['uni' '202103311341' '-12.25' '2.2' '-8.5' '-2.5'],['uni' '202104011335' '-14.0' '3.95' '-10.33' '-3.0'],['uni' '202104021100' '-14.0' '4.68' '-6.0' '5.0']
['sol' '202103311341' '13.5' '-0.57' '-3.0' '65.5'],['sol' '202104011335' '10.67' '-0.34' '2.0' '62.67'],['sol' '202104021100' '0.0' '-1.08' '-25.0' '6.0']
['cro' '202103311341' '-36.0' '-0.94' '-25.5' '-32.5'],['cro' '202104011335' '-43.33' '0.22' '-31.67' '-36.67'],['cro' '202104021100' '-33.0' '0.02' '-8.0' '-14.0']
['dai' '202103311341' '5.25' '0.0' '0.25' '21.25'],['dai' '202104011335' '9.67' '0.0' '6.33' '39.0'],['dai' '202104021100' '-54.0' '0.0' '-57.0' '-17.0']
['comp' '202103311341' '-17.25' '9.5' '-29.25' '-8.75'],['comp' '202104011335' '-17.67' '13.54' '-35.0' '-6.33'],['comp' '202104021100' '-20.0' '14.61' '-35.0' '-6.0']
['ust' '202103311341' '-2.75' '0.1' '-12.75' '4.25'],['ust' '202104011335' '-6.33' '0.06' '-21.33' '0.0'],['ust' '202104021100' '16.0' '0.1' '-7.0' '22.0']
['ont' '202103311341' '36.25' '7.5' '45.5' '25.25'],['ont' '202104011335' '39.67' '12.05' '49.33' '27.33'],['ont' '202104021100' '29.0' '13.92' '12.0' '34.0']
['one' '202103311341' '1.5' '-2.45' '15.25' '8.5'],['one' '202104011335' '4.0' '-1.28' '10.33' '6.67'],['one' '202104021100' '9.0' '-0.21' '-13.0' '2.0']
['ren' '202103311341' '3.75' '-1.39' '8.5' '10.0'],['ren' '202104011335' '1.67' '0.34' '1.0' '1.33'],['ren' '202104021100' '18.0' '0.95' '5.0' '5.0']
['win' '202103311341' '11.25' '23.31' '-5.75' '8.5'],['win' '202104011335' '16.67' '27.76' '-2.33' '17.67'],['win' '202104021100' '-4.0' '22.63' '3.0' '-2.0']
['kin' '202103311341' '-8.5' '12.83' '-10.75' '2.0'],['kin' '202104011335' '-8.67' '18.42' '-11.67' '3.0'],['kin' '202104021100' '-21.0' '31.44' '-34.0' '-22.0']
['ant' '202103311341' '0.0' '-3.58' '-11.0' '28.25'],['ant' '202104011335' '0.0' '-4.22' '-11.67' '37.67'],['ant' '202104021100' '-5.0' '-3.98' '-35.0' '9.0']
['fun' '202103311341' '-5.75' '-1.58' '8.25' '-6.75'],['fun' '202104011335' '-4.0' '-0.02' '6.0' '-7.33'],['fun' '202104021100' '26.0' '0.19' '9.0' '44.0']
['tel' '202103311341' '4.75' '0.36' '16.75' '24.5'],['tel' '202104011335' '-10.33' '2.09' '17.33' '-10.0'],['tel' '202104021100' '-22.0' '11.28' '43.0' '11.0']
['bal' '202103311341' '-9.0' '-1.61' '1.75' '-26.25'],['bal' '202104011335' '-14.0' '-1.14' '1.33' '-27.67'],['bal' '202104021100' '-60.0' '-0.04' '-61.0' '-42.0']
['ark' '202103311341' '-6.5' '-5.57' '-8.25' '-5.75'],['ark' '202104011335' '-9.33' '-6.08' '-14.0' '-13.67'],['ark' '202104021100' '-20.0' '-7.67' '-12.0' '-4.0']
['anc' '202103311341' '-5.25' '-2.69' '3.25' '-1.75'],['anc' '202104011335' '-6.0' '-2.61' '5.0' '-3.33'],['anc' '202104021100' '1.0' '-2.36' '16.0' '13.0']
['vid' '202103311341' '-4.75' '-2.16' '-28.0' '-26.75'],['vid' '202104011335' '-6.33' '-3.36' '-24.67' '-26.67'],['vid' '202104021100' '-27.0' '-8.54' '-58.0' '-55.0']
['key' '202103311341' '6.25' '-2.41' '8.75' '11.0'],['key' '202104011335' '11.0' '-1.49' '11.67' '17.0'],['key' '202104021100' '-50.0' '-2.11' '-17.0' '-55.0']
