['btc' '202103302152' '-18.8' '-0.27' '-24.0' '-21.4'],['btc' '202104021748' '-22.25' '-0.3' '-25.5' '-23.75'],['btc' '202104072213' '-47.0' '-1.43' '-62.0' '-58.0']
['eth' '202103302152' '2.0' '0.13' '-1.8' '4.0'],['eth' '202104021748' '2.5' '0.12' '1.25' '3.5'],['eth' '202104072213' '-32.0' '-1.41' '-37.0' '-38.0']
['uni' '202103302152' '-0.4' '-0.98' '-10.6' '-2.2'],['uni' '202104021748' '0.25' '-1.11' '-11.75' '-3.0'],['uni' '202104072213' '-17.0' '-2.93' '-44.0' '-14.0']
['link' '202104021748' '-17.0' '-1.37' '-25.67' '-17.33'],['link' '202104072213' '-9.0' '-3.25' '0.0' '-11.0']
['sol' '202103302152' '-24.2' '0.72' '-4.0' '-31.0'],['sol' '202104021748' '-18.75' '1.46' '2.5' '-25.75'],['sol' '202104072213' '-57.0' '7.64' '-68.0' '-53.0']
['cro' '202103302152' '7.8' '-0.84' '-5.4' '-1.0'],['cro' '202104021748' '-1.0' '-0.74' '-15.5' '-7.5'],['cro' '202104072213' '8.0' '-3.32' '-38.0' '-3.0']
['dai' '202103302152' '26.75' '0.0' '25.25' '18.25'],['dai' '202104021748' '33.33' '0.0' '36.0' '23.33'],['dai' '202104072213' '-17.0' '0.0' '-36.0' '-4.0']
['comp' '202103302152' '20.0' '-0.07' '26.8' '27.2'],['comp' '202104021748' '19.5' '0.16' '28.0' '30.75'],['comp' '202104072213' '-10.0' '1.75' '12.0' '5.0']
['ust' '202103302152' '7.0' '-0.09' '7.8' '3.4'],['ust' '202104021748' '5.5' '-0.12' '-0.75' '-1.0'],['ust' '202104072213' '-18.0' '-0.2' '-23.0' '-25.0']
['ont' '202103302152' '-4.6' '-2.27' '-14.2' '-9.0'],['ont' '202104021748' '-1.75' '-2.99' '-17.75' '-8.25'],['ont' '202104072213' '4.0' '-6.45' '-10.0' '3.0']
['one' '202103302152' '-6.2' '1.63' '-15.0' '-15.2'],['one' '202104021748' '-10.0' '2.54' '-14.5' '-20.75'],['one' '202104072213' '-38.0' '16.02' '-52.0' '-54.0']
['ren' '202103302152' '-12.0' '-0.08' '-15.0' '-16.4'],['ren' '202104021748' '-14.5' '0.13' '-16.75' '-16.75'],['ren' '202104072213' '-29.0' '-2.26' '-31.0' '-29.0']
['win' '202103302152' '3.6' '-3.53' '6.0' '8.4'],['win' '202104021748' '5.75' '-4.47' '0.25' '7.75'],['win' '202104072213' '-4.0' '-7.69' '-47.0' '-5.0']
['kin' '202103302152' '-4.8' '-0.93' '-27.0' '-14.8'],['kin' '202104021748' '-5.25' '-0.11' '-33.25' '-19.5'],['kin' '202104072213' '-23.0' '-9.42' '-62.0' '-45.0']
['ant' '202103302152' '-3.0' '0.17' '-8.2' '-16.0'],['ant' '202104021748' '0.25' '1.25' '-3.75' '-11.75'],['ant' '202104072213' '-42.0' '-3.15' '-54.0' '-50.0']
['fun' '202103302152' '-4.0' '-0.48' '11.8' '4.2'],['fun' '202104021748' '-3.5' '-0.71' '11.0' '1.5'],['fun' '202104072213' '-12.0' '-2.95' '-31.0' '20.0']
['tel' '202103302152' '11.4' '0.65' '0.2' '19.6'],['tel' '202104021748' '16.75' '0.98' '3.5' '28.5'],['tel' '202104072213' '-18.0' '-1.85' '-23.0' '-19.0']
['bal' '202103302152' '1.8' '-0.1' '-1.6' '-10.6'],['bal' '202104021748' '-3.5' '-0.13' '-6.0' '-20.75'],['bal' '202104072213' '-40.0' '-1.11' '-44.0' '-34.0']
['ark' '202103302152' '-6.0' '2.07' '-9.2' '-9.8'],['ark' '202104021748' '-6.0' '-0.62' '-9.0' '-8.75'],['ark' '202104072213' '-35.0' '0.99' '-39.0' '-46.0']
['anc' '202103302152' '15.6' '-0.8' '5.6' '16.0'],['anc' '202104021748' '19.25' '-1.0' '3.25' '14.5'],['anc' '202104072213' '-16.0' '-1.18' '-39.0' '-20.0']
['ray' '202104072213' '-14.0' '-0.11' '0.0' '-14.0']
['spi' '202104072213' '-25.0' '-7.37' '-48.0' '0.0']
['vid' '202103302152' '20.0' '-4.01' '4.4' '21.0'],['vid' '202104021748' '32.0' '-4.74' '19.0' '31.25'],['vid' '202104072213' '-9.0' '0.59' '-61.0' '-50.0']
['key' '202103302152' '44.25' '-2.56' '23.75' '66.0'],['key' '202104072213' '67.0' '-7.06' '-67.0' '18.0']
['loc' '202103302152' '-4.8' '0.35' '-3.6' '-5.8'],['loc' '202104021748' '-4.75' '-0.7' '-4.5' '-3.5'],['loc' '202104072213' '-25.0' '4.21' '-51.0' '-42.0']
['ring' '202103302152' '-4.6' '-1.63' '-29.8' '-13.8'],['ring' '202104021748' '-7.5' '-1.38' '-29.75' '-13.25'],['ring' '202104072213' '-21.0' '-1.42' '-53.0' '-35.0']
