['btc' '30/03/21:52' '11.0' '2.6' '120.0' '10.0'],['btc' '31/03/22:41' '-29.0' '0.71' '-36.0' '-27.0'],['btc' '01/04/16:01' '-2.0' '-0.02' '-2.0' '13.0'],['btc' '02/04/18:32' '-26.0' '0.94' '-31.0' '-21.0']
['eth' '30/03/21:52' '15.0' '1.71' '28.0' '23.0'],['eth' '31/03/22:41' '-24.0' '0.57' '19.0' '-28.0'],['eth' '01/04/16:01' '6.0' '5.27' '46.5' '8.0'],['eth' '02/04/18:32' '9.0' '12.56' '15.0' '25.0']
['bnb' '30/03/17:21' '-43.0' '11.27' '-81.0' '-75.0'],['bnb' '31/03/18:12' '38.0' '0.91' '62.0' '164.0'],['bnb' '01/04/16:01' '127.5' '6.61' '142.5' '134.0'],['bnb' '02/04/18:32' '73.0' '13.04' '52.5' '-23.0']
['uni' '30/03/21:52' '72.0' '-1.28' '76.0' '92.0'],['uni' '31/03/22:41' '-32.0' '-2.1' '-40.0' '-30.0'],['uni' '01/04/16:01' '-42.0' '2.02' '-30.0' '-42.0'],['uni' '02/04/18:32' '19.0' '6.69' '72.0' '23.5']
['sol' '30/03/21:52' '-36.0' '4.75' '-20.0' '-38.0'],['sol' '31/03/22:41' '71.0' '-0.66' '0.0' '125.0'],['sol' '01/04/16:01' '-2.5' '-3.7' '-14.0' '-3.0'],['sol' '02/04/18:32' '-43.0' '-0.08' '-28.0' '-60.0']
['cro' '30/03/21:52' '233.0' '1.09' '156.0' '176.0'],['cro' '31/03/22:41' '-40.0' '-2.0' '-48.0' '-38.0'],['cro' '01/04/16:01' '-26.0' '-3.0' '-38.5' '-17.0'],['cro' '02/04/18:32' '-48.0' '3.11' '27.0' '-34.0']
['dai' '30/03/21:52' '25.0' '0.0' '17.0' '55.0'],['dai' '31/03/22:41' '-13.0' '0.0' '-10.0' '-26.0'],['dai' '01/04/16:01' '39.5' '0.0' '35.0' '54.5'],['dai' '02/04/18:32' '62.0' '0.0' '77.5' '113.5']
['comp' '30/03/21:52' '50.0' '1.6' '55.0' '51.0'],['comp' '31/03/22:41' '-39.0' '-2.3' '-31.0' '-45.0'],['comp' '01/04/16:01' '-11.0' '10.22' '17.0' '19.5'],['comp' '02/04/18:32' '2.5' '20.06' '-20.5' '-6.0']
['ust' '30/03/21:52' '42.0' '0.09' '30.0' '64.0'],['ust' '31/03/22:41' '-6.0' '-0.2' '5.0' '-4.0'],['ust' '01/04/16:01' '8.0' '-0.1' '37.0' '26.5'],['ust' '02/04/18:32' '6.5' '0.0' '-24.0' '-15.0']
['ont' '30/03/21:52' '31.0' '2.53' '55.0' '55.0'],['ont' '31/03/22:41' '-19.0' '-2.47' '-24.0' '-26.0'],['ont' '01/04/16:01' '12.5' '12.07' '21.5' '1.5'],['ont' '02/04/18:32' '57.0' '10.13' '70.0' '69.0']
['dent' '31/03/15:48' '14.0' '-4.03' '38.0' '0.0'],['dent' '01/04/16:01' '14.0' '-5.86' '54.0' '22.0'],['dent' '02/04/17:48' '-8.33' '10.99' '-15.0' '35.33']
['one' '30/03/21:52' '49.0' '-3.13' '63.0' '53.0'],['one' '31/03/22:41' '-9.0' '-4.32' '15.0' '3.0'],['one' '01/04/16:01' '-16.0' '-6.25' '-7.5' '-4.5'],['one' '02/04/18:32' '4.5' '-5.81' '-32.0' '-8.5']
['ren' '30/03/21:52' '18.0' '0.0' '2.0' '-4.0'],['ren' '31/03/22:41' '-18.0' '-2.78' '11.0' '16.0'],['ren' '01/04/16:01' '-7.0' '-1.38' '20.0' '10.5'],['ren' '02/04/18:32' '11.5' '9.71' '24.5' '-22.0']
['win' '30/03/21:52' '25.0' '8.11' '29.0' '29.0'],['win' '31/03/22:41' '15.0' '21.5' '6.0' '-7.0'],['win' '01/04/16:01' '39.5' '50.01' '35.0' '32.0'],['win' '02/04/18:32' '-26.0' '17.88' '-15.0' '-20.5']
