rep, -7.18%, 40.43, 2.31, 10, 22.0, 37, 16, 133, 202104072213, negatif
ant, -15.75%, 11.08, 2.29, 18, 108.0, 55, 24, 134, 202104072213, negatif
fun, -16.08%, 0.039772, 2.86, 22, 229.0, 83, 29, 138, 202104072213, negatif
tel, -7.27%, 0.006835, 2.5, 9, 516.0, 25, 10, 147, 202104072213, negatif
bal, -13.93%, 50.11, 1.11, 12, 244.0, 21, 19, 149, 202104072213, negatif
wan, -12.14%, 1.69, 2.36, 7, 65.0, 26, 11, 170, 202104072213, negatif
ark, -10.58%, 2.05, 1.05, 30, 617.0, 66, 63, 178, 202104072213, negatif
anc, 1.75%, 5.02, 2.22, 69, 1379.0, 160, 72, 180, 202104072213, positif
trac, -13.48%, 0.711793, 2.85, 8, 274.0, 37, 13, 181, 202104072213, negatif
ava, -9.44%, 4.94, 1.67, 8, 68.0, 25, 15, 184, 202104072213, negatif
rif, -10.46%, 0.338854, 2.83, 9, 695.0, 17, 6, 188, 202104072213, negatif
ray, -7.36%, 8.84, 12.0, 6, 21.0, 12, 1, 194, 202104072213, negatif
spi, -9.01%, 211.10, 1.17, 9, 164.0, 14, 12, 209, 202104072213, negatif
data, -22.46%, 0.213984, 0.5, 6, 56.0, 8, 16, 225, 202104072213, negatif
lon, -8.29%, 6.57, 6.0, 7, 575.0, 18, 3, 246, 202104072213, negatif
vid, 17.77%, 0.947672, 2.56, 10, 22.0, 23, 9, 251, 202104072213, positif
pha, -13.54%, 0.77, 2.33, 7, 16.0, 7, 3, 257, 202104072213, negatif
dia, -5.05%, 4.44, 3.71, 11, 567.0, 26, 7, 271, 202104072213, negatif
key, -15.01%, 0.021191, 6.67, 10, 138.0, 20, 3, 313, 202104072213, negatif
loc, -3.36%, 6.19, 2.4, 21, 355.0, 48, 20, 317, 202104072213, negatif
ring, -13.06%, 0.192028, 2.0, 15, 102.0, 28, 14, 323, 202104072213, negatif
ast, -19.11%, 0.435, 2.08, 15, 593.0, 50, 24, 371, 202104072213, negatif
tru, -7.31%, 0.4324, 1.11, 11, 68.0, 31, 28, 381, 202104072213, negatif
pro, -7.73%, 0.725885, 1.68, 53, 1000.0, 141, 84, 400, 202104072213, negatif
polk, -5.68%, 2.10, 4.5, 8, 23.0, 27, 6, 407, 202104072213, negatif
any, -9.64%, 2.53, 1.2, 20, 268.0, 53, 44, 409, 202104072213, negatif
game, -8.04%, 0.32766, 2.21, 6, 9.0, 31, 14, 412, 202104072213, negatif
sha, -9.75%, 0.012896, 1.0, 7, 733.0, 7, 7, 431, 202104072213, negatif
met, -0.84%, 3.25, 1.59, 10, 26.0, 27, 17, 437, 202104072213, negatif
ost, -11.71%, 0.043693, 1.59, 22, 107.0, 54, 34, 449, 202104072213, negatif
pay, -2.04%, 0.1585, 1.44, 11, 59.0, 36, 25, 451, 202104072213, negatif
for, -10.73%, 0.072854, 2.38, 94, 1814.0, 240, 101, 455, 202104072213, negatif
layer, -11.98%, 1.54, 2.0, 6, 14.0, 16, 8, 459, 202104072213, negatif
smart, 14.33%, 0.018734, 1.67, 7, 255.0, 20, 12, 467, 202104072213, positif
new, -8.10%, 0.001282, 3.36, 43, 1222.0, 151, 45, 470, 202104072213, negatif
hit, -30.93%, 0.000407, 1.4, 8, 22.0, 14, 10, 477, 202104072213, negatif
block, -2.08%, 3.24, 2.65, 17, 187.0, 45, 17, 481, 202104072213, negatif
ach, -8.82%, 0.014032, 1.68, 20, 64.0, 52, 31, 489, 202104072213, negatif
act, -10.18%, 0.02231, 2.54, 19, 295.0, 66, 26, 495, 202104072213, negatif
man, 7.03%, 0.099462, 1.53, 26, 976.0, 75, 49, 499, 202104072213, positif
