btc, 0.54%, 59339.32, 2.15, 16, 54.0, 43, 20, 1, 202104022050, positif
eth, 5.56%, 2052.72, 1.96, 40, 664.0, 94, 48, 2, 202104022050, positif
bnb, 4.91%, 343.28, 1.33, 17, 516.0, 28, 21, 3, 202104022050, positif
ada, 1.21%, 1.21, 2.12, 11, 519.0, 17, 8, 5, 202104022050, positif
dot, 4.06%, 39.35, 5.2, 10, 19.0, 26, 5, 6, 202104022050, positif
uni, 0.99%, 29.51, 3.73, 22, 645.0, 82, 22, 8, 202104022050, positif
ltc, 1.44%, 206.60, 1.0, 6, 9.0, 5, 5, 9, 202104022050, positif
link, 0.50%, 30.98, 2.2, 8, 21.0, 11, 5, 10, 202104022050, positif
fil, -24.71%, 172.80, 1.07, 18, 155.0, 31, 29, 12, 202104022050, negatif
doge, -1.62%, 0.058642, 9.6, 13, 18.0, 48, 5, 18, 202104022050, negatif
vet, 3.83%, 0.091992, 5.83, 7, 487.0, 35, 6, 21, 202104022050, positif
dai, 0.05%, 1.00, 0.64, 13, 116.0, 25, 39, 41, 202104022050, positif
comp, 3.65%, 469.87, 2.08, 17, 186.0, 50, 24, 49, 202104022050, positif
ust, 0.20%, 1.00, 2.66, 29, 345.0, 117, 44, 65, 202104022050, positif
one, -4.82%, 0.170927, 3.29, 45, 454.0, 138, 42, 67, 202104022050, negatif
mana, -1.44%, 1.00, 1.07, 8, 44.0, 16, 15, 69, 202104022050, negatif
uma, 2.22%, 24.75, 2.36, 7, 85.0, 33, 14, 72, 202104022050, positif
ont, -3.89%, 1.74, 2.38, 23, 239.0, 76, 32, 76, 202104022050, negatif
ren, 3.79%, 1.10, 1.27, 46, 382.0, 99, 78, 85, 202104022050, positif
kin, 11.81%, 0.000323, 2.67, 26, 208.0, 88, 33, 131, 202104022050, positif
ant, 8.04%, 11.67, 2.67, 17, 216.0, 56, 21, 135, 202104022050, positif
rep, 0.34%, 40.10, 1.88, 14, 96.0, 47, 25, 138, 202104022050, positif
tel, 7.91%, 0.008567, 4.67, 10, 54.0, 28, 6, 140, 202104022050, positif
fun, -2.35%, 0.04018, 2.3, 25, 277.0, 99, 43, 145, 202104022050, negatif
bal, 4.00%, 58.40, 0.48, 12, 154.0, 12, 25, 146, 202104022050, positif
ark, -2.99%, 2.71, 1.09, 43, 395.0, 96, 88, 157, 202104022050, negatif
trac, 5.41%, 0.877683, 2.55, 9, 122.0, 51, 20, 169, 202104022050, positif
ava, -0.60%, 5.58, 1.46, 8, 92.0, 19, 13, 180, 202104022050, negatif
spi, 7.05%, 244.35, 0.48, 10, 104.0, 14, 29, 201, 202104022050, positif
anc, -1.90%, 4.44, 2.3, 73, 959.0, 177, 77, 214, 202104022050, negatif
sys, -0.22%, 0.345426, 1.85, 11, 167.0, 24, 13, 219, 202104022050, negatif
win, -3.53%, 0.000555, 3.14, 21, 148.0, 110, 35, 233, 202104022050, negatif
lon, -5.73%, 7.34, 7.83, 12, 95.0, 47, 6, 240, 202104022050, negatif
vai, 0.77%, 0.916171, 1.2, 6, 18.0, 12, 10, 243, 202104022050, positif
key, 1.40%, 0.021596, 1.82, 9, 186.0, 20, 11, 310, 202104022050, positif
loc, 1.54%, 6.36, 3.57, 28, 802.0, 75, 21, 314, 202104022050, positif
vid, -28.63%, 0.616117, 2.61, 14, 131.0, 47, 18, 318, 202104022050, negatif
ring, -5.34%, 0.187189, 2.44, 15, 239.0, 39, 16, 323, 202104022050, negatif
ast, 1.24%, 0.575408, 1.68, 17, 588.0, 64, 38, 328, 202104022050, positif
tru, -4.98%, 0.4656, 0.68, 10, 59.0, 19, 28, 370, 202104022050, negatif
game, -2.03%, 0.388772, 2.05, 9, 82.0, 43, 21, 390, 202104022050, negatif
any, 1.08%, 2.82, 2.56, 23, 264.0, 69, 27, 393, 202104022050, positif
pro, -7.99%, 0.728228, 1.96, 52, 785.0, 149, 76, 396, 202104022050, negatif
sha, 6.48%, 0.013187, 3.75, 13, 171.0, 45, 12, 429, 202104022050, positif
for, -10.40%, 0.086061, 2.19, 102, 1548.0, 306, 140, 434, 202104022050, negatif
met, 0.11%, 3.06, 2.25, 11, 971.0, 27, 12, 438, 202104022050, positif
pay, 5.73%, 0.1551, 1.6, 8, 13.0, 16, 10, 450, 202104022050, positif
polk, -2.86%, 2.36, 5.2, 9, 18.0, 26, 5, 451, 202104022050, negatif
ost, -5.25%, 0.039755, 1.66, 28, 731.0, 73, 44, 454, 202104022050, negatif
new, 9.20%, 0.00127, 2.59, 50, 433.0, 181, 70, 466, 202104022050, positif
block, 0.28%, 3.40, 3.83, 25, 699.0, 69, 18, 467, 202104022050, positif
man, 2.85%, 0.099216, 1.97, 35, 697.0, 132, 67, 489, 202104022050, positif
act, -2.91%, 0.020682, 2.42, 30, 575.0, 116, 48, 494, 202104022050, negatif
