btc, -3.77%, 56018.59, 1.78, 17, 563.0, 32, 18, 1, 202104072315, negatif
eth, -7.37%, 1968.03, 2.65, 25, 687.0, 69, 26, 2, 202104072315, negatif
dot, -9.59%, 38.80, 4.0, 7, 416.0, 24, 6, 7, 202104072315, negatif
uni, -9.68%, 28.14, 4.29, 8, 306.0, 30, 7, 8, 202104072315, negatif
link, -8.97%, 30.65, 6.5, 8, 492.0, 13, 2, 10, 202104072315, negatif
sol, 7.54%, 26.06, 3.25, 13, 109.0, 52, 16, 20, 202104072315, positif
cro, -11.05%, 0.184872, 3.86, 11, 473.0, 27, 7, 24, 202104072315, negatif
dai, 0.07%, 1.00, 0.82, 7, 66.0, 14, 17, 40, 202104072315, positif
comp, -7.78%, 454.30, 1.82, 11, 72.0, 31, 17, 47, 202104072315, negatif
ust, -0.50%, 0.995, 2.23, 16, 589.0, 67, 30, 64, 202104072315, negatif
ont, -7.09%, 1.74, 2.15, 18, 673.0, 56, 26, 72, 202104072315, negatif
one, 4.89%, 0.149004, 2.5, 16, 1152.0, 45, 18, 73, 202104072315, positif
dent, -19.03%, 0.013955, 0.56, 6, 868.0, 9, 16, 80, 202104072315, negatif
ren, -13.08%, 0.9774, 1.45, 26, 128.0, 45, 31, 93, 202104072315, negatif
win, -32.61%, 0.001537, 2.52, 13, 441.0, 53, 21, 127, 202104072315, negatif
kin, -24.11%, 0.000298, 3.0, 15, 25.0, 45, 15, 131, 202104072315, negatif
rep, -7.18%, 40.43, 2.44, 11, 36.0, 39, 16, 133, 202104072315, negatif
ant, -15.75%, 11.08, 1.89, 12, 92.0, 36, 19, 134, 202104072315, negatif
fun, -16.08%, 0.039772, 3.4, 14, 218.0, 51, 15, 138, 202104072315, negatif
tel, -7.27%, 0.006835, 3.0, 9, 725.0, 27, 9, 147, 202104072315, negatif
bal, -13.93%, 50.11, 1.0, 8, 73.0, 13, 13, 149, 202104072315, negatif
ark, -10.58%, 2.05, 0.88, 28, 1859.0, 59, 67, 178, 202104072315, negatif
anc, 1.75%, 5.02, 3.72, 21, 262.0, 67, 18, 180, 202104072315, positif
trac, -13.48%, 0.711793, 2.5, 7, 22.0, 30, 12, 181, 202104072315, negatif
ray, -7.36%, 8.84, 16.0, 7, 26.0, 16, 1, 194, 202104072315, negatif
sys, -4.09%, 0.362428, 1.54, 7, 55.0, 20, 13, 202, 202104072315, negatif
spi, -9.01%, 211.10, 0.85, 7, 447.0, 11, 13, 209, 202104072315, negatif
vid, 17.77%, 0.947672, 2.11, 7, 30.0, 19, 9, 251, 202104072315, positif
dia, -5.05%, 4.44, 3.2, 7, 37.0, 16, 5, 271, 202104072315, negatif
key, -15.01%, 0.021191, 4.67, 7, 55.0, 14, 3, 313, 202104072315, negatif
loc, -3.36%, 6.19, 2.25, 15, 748.0, 36, 16, 317, 202104072315, negatif
ring, -13.06%, 0.192028, 2.23, 9, 144.0, 29, 13, 323, 202104072315, negatif
ast, -19.11%, 0.435, 1.43, 12, 46.0, 33, 23, 371, 202104072315, negatif
tru, -7.31%, 0.4324, 1.45, 9, 367.0, 29, 20, 381, 202104072315, negatif
pro, -7.73%, 0.725885, 1.75, 34, 1460.0, 89, 51, 400, 202104072315, negatif
polk, -5.68%, 2.10, 2.5, 6, 131.0, 25, 10, 407, 202104072315, negatif
game, -8.04%, 0.32766, 2.29, 6, 30.0, 32, 14, 412, 202104072315, negatif
sha, -9.75%, 0.012896, 2.0, 8, 709.0, 12, 6, 431, 202104072315, negatif
met, -0.84%, 3.25, 3.67, 6, 268.0, 22, 6, 437, 202104072315, negatif
ost, -11.71%, 0.043693, 1.56, 16, 917.0, 42, 27, 449, 202104072315, negatif
for, -10.73%, 0.072854, 2.32, 62, 1304.0, 165, 71, 455, 202104072315, negatif
new, -8.10%, 0.001282, 3.28, 24, 356.0, 82, 25, 470, 202104072315, negatif
hit, -30.93%, 0.000407, 0.92, 6, 1173.0, 12, 13, 477, 202104072315, negatif
block, -2.08%, 3.24, 2.0, 12, 745.0, 30, 15, 481, 202104072315, negatif
ach, -8.82%, 0.014032, 1.71, 16, 52.0, 48, 28, 489, 202104072315, negatif
act, -10.18%, 0.02231, 2.12, 17, 284.0, 53, 25, 495, 202104072315, negatif
man, 7.03%, 0.099462, 1.82, 16, 487.0, 60, 33, 499, 202104072315, positif
