fun, -17.65%, 0.040982, 1.64, 25, 125.0, 69, 42, 137, 202104071638, negatif
tel, -5.44%, 0.006964, 2.38, 11, 98.0, 31, 13, 146, 202104071638, negatif
bal, -13.56%, 50.67, 0.94, 20, 691.0, 32, 34, 149, 202104071638, negatif
wan, -12.62%, 1.72, 1.75, 8, 25.0, 35, 20, 166, 202104071638, negatif
trac, -8.16%, 0.76297, 2.48, 17, 95.0, 77, 31, 175, 202104071638, negatif
ark, -10.75%, 2.03, 1.19, 46, 332.0, 123, 103, 180, 202104071638, negatif
ava, -5.22%, 5.12, 1.79, 8, 129.0, 34, 19, 181, 202104071638, negatif
anc, 2.92%, 5.08, 1.69, 82, 890.0, 199, 118, 182, 202104071638, positif
rif, -6.13%, 0.358565, 2.83, 8, 51.0, 34, 12, 184, 202104071638, negatif
sys, 1.80%, 0.38539, 1.94, 10, 72.0, 31, 16, 192, 202104071638, positif
ray, -7.52%, 8.85, 14.0, 7, 389.0, 14, 1, 199, 202104071638, negatif
spi, 3.59%, 227.90, 0.61, 12, 312.0, 14, 23, 201, 202104071638, positif
data, -13.72%, 0.197163, 1.08, 7, 116.0, 13, 12, 231, 202104071638, negatif
lon, -5.63%, 6.63, 2.14, 7, 237.0, 15, 7, 246, 202104071638, negatif
vid, 17.63%, 0.942121, 2.0, 11, 84.0, 46, 23, 255, 202104071638, positif
pha, -14.64%, 0.776042, 3.75, 8, 174.0, 15, 4, 259, 202104071638, negatif
dia, -5.27%, 4.28, 1.86, 12, 110.0, 26, 14, 276, 202104071638, negatif
key, -8.24%, 0.022801, 1.89, 6, 327.0, 17, 9, 306, 202104071638, negatif
ring, -14.19%, 0.1948, 1.43, 19, 217.0, 43, 30, 323, 202104071638, negatif
loc, -24.91%, 5.94, 2.02, 28, 182.0, 83, 41, 326, 202104071638, negatif
ast, -15.42%, 0.459, 2.61, 14, 474.0, 60, 23, 364, 202104071638, negatif
tru, -13.56%, 0.4129, 1.5, 8, 55.0, 24, 16, 383, 202104071638, negatif
pro, -3.73%, 0.717155, 1.66, 50, 291.0, 156, 94, 402, 202104071638, negatif
polk, -7.93%, 2.13, 2.85, 10, 64.0, 37, 13, 406, 202104071638, negatif
game, -7.70%, 0.341819, 1.88, 10, 46.0, 45, 24, 407, 202104071638, negatif
any, -9.39%, 2.51, 1.51, 25, 180.0, 83, 55, 411, 202104071638, negatif
sha, -13.72%, 0.013303, 3.0, 6, 75.0, 18, 6, 428, 202104071638, negatif
met, 2.20%, 3.30, 2.27, 12, 224.0, 34, 15, 436, 202104071638, positif
soc, -11.19%, 0.024, 1.77, 6, 18.0, 23, 13, 441, 202104071638, negatif
ost, -14.17%, 0.042604, 1.91, 21, 288.0, 61, 32, 450, 202104071638, negatif
layer, -5.40%, 1.61, 2.88, 6, 127.0, 23, 8, 451, 202104071638, negatif
pay, -6.51%, 0.1566, 1.95, 15, 173.0, 39, 20, 452, 202104071638, negatif
for, -13.96%, 0.072203, 1.93, 121, 1161.0, 335, 174, 456, 202104071638, negatif
smart, 32.13%, 0.020917, 1.93, 8, 102.0, 29, 15, 460, 202104071638, positif
hit, -20.80%, 0.000476, 2.73, 14, 130.0, 41, 15, 461, 202104071638, negatif
via, -10.64%, 1.25, 1.94, 7, 24.0, 31, 16, 463, 202104071638, negatif
new, -12.18%, 0.001283, 2.45, 55, 780.0, 206, 84, 471, 202104071638, negatif
block, -6.14%, 3.21, 2.13, 22, 133.0, 64, 30, 480, 202104071638, negatif
ach, 7.94%, 0.013903, 1.55, 28, 173.0, 85, 55, 490, 202104071638, positif
man, 5.53%, 0.099282, 1.71, 30, 312.0, 106, 62, 496, 202104071638, positif
act, -27.52%, 0.02098, 2.12, 31, 216.0, 125, 59, 499, 202104071638, negatif
